,Customer Type,Type of Travel,satisfaction,Gender,Class,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
29,Loyal Customer,Business travel,neutral or dissatisfied,Male,Eco,51.0,235.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,0.0,0.0
30,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Business,43.0,1235.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,4.0,3.0,5.0,0.0,0.0
31,Loyal Customer,Business travel,satisfied,Female,Eco,56.0,308.0,2.0,3.0,3.0,3.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
32,disloyal Customer,Business travel,neutral or dissatisfied,Male,Eco,41.0,624.0,2.0,3.0,2.0,4.0,5.0,2.0,5.0,5.0,3.0,3.0,1.0,4.0,5.0,0.0,0.0
33,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,22.0,1846.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,40.0,68.0
34,Loyal Customer,Business travel,satisfied,Female,Eco,53.0,192.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,0.0,1.0
35,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,12.0,674.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,4.0,4.0,1.0,80.0,70.0
36,Loyal Customer,Business travel,satisfied,Female,Business,39.0,370.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,10.0,12.0
37,Loyal Customer,Business travel,satisfied,Female,Business,55.0,3169.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,73.0,68.0
38,disloyal Customer,Business travel,neutral or dissatisfied,Female,Business,32.0,802.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,2.0,0.0,10.0
39,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,40.0,628.0,1.0,4.0,1.0,3.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,0.0
40,disloyal Customer,Business travel,neutral or dissatisfied,Female,Business,42.0,373.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,0.0,0.0
41,disloyal Customer,Business travel,satisfied,Male,Eco,24.0,725.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,0.0,4.0
42,Loyal Customer,Business travel,neutral or dissatisfied,Male,Business,22.0,277.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,116.0,177.0
43,Loyal Customer,Business travel,satisfied,Female,Business,28.0,1024.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,0.0,3.0
44,Loyal Customer,Business travel,neutral or dissatisfied,Female,Eco Plus,36.0,267.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,59.0,55.0
45,Loyal Customer,Business travel,satisfied,Female,Eco,62.0,550.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,92.0,90.0
46,Loyal Customer,Business travel,satisfied,Female,Business,60.0,1889.0,2.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0
47,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,59.0,460.0,2.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,2.0,4.0,1.0,5.0,2.0,4.0,2.0
48,Loyal Customer,Business travel,satisfied,Female,Business,49.0,3295.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,4.0
49,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,44.0,1205.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0
50,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco Plus,58.0,990.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,1.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0
51,disloyal Customer,Business travel,satisfied,Male,Business,24.0,444.0,4.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,5.0,2.0,20.0,32.0
52,Loyal Customer,Business travel,satisfied,Female,Eco,53.0,520.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,17.0,0.0
53,Loyal Customer,Business travel,neutral or dissatisfied,Male,Eco,56.0,321.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,0.0,0.0
54,Loyal Customer,Business travel,satisfied,Female,Business,30.0,651.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,0.0,0.0
55,disloyal Customer,Business travel,neutral or dissatisfied,Male,Business,27.0,764.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,30.0,46.0
56,Loyal Customer,Business travel,satisfied,Male,Business,27.0,566.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0
57,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,67.0,626.0,3.0,4.0,3.0,1.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,0.0,0.0
58,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,32.0,130.0,3.0,0.0,3.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,4.0
59,disloyal Customer,Business travel,neutral or dissatisfied,Male,Eco,36.0,331.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0
60,Loyal Customer,Business travel,satisfied,Male,Business,44.0,158.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,66.0,57.0
61,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,70.0,1829.0,1.0,4.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,3.0,0.0,0.0
62,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,55.0,646.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,0.0,3.0
63,Loyal Customer,Business travel,satisfied,Male,Eco,66.0,404.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,5.0,4.0,9.0,6.0
64,Loyal Customer,Business travel,satisfied,Female,Business,19.0,2738.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,0.0,0.0
65,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco Plus,53.0,964.0,1.0,5.0,1.0,2.0,4.0,4.0,5.0,4.0,1.0,4.0,5.0,4.0,4.0,6.0,0.0
66,Loyal Customer,Business travel,neutral or dissatisfied,Male,Business,22.0,1660.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0
67,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,69.0,872.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,3.0,5.0,3.0,14.0,0.0
68,Loyal Customer,Business travel,satisfied,Female,Business,42.0,1898.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,49.0,47.0
69,Loyal Customer,Business travel,satisfied,Female,Business,41.0,967.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,44.0,40.0
70,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Business,53.0,1242.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,1.0,3.0,1.0,4.0,1.0,4.0,3.0,0.0
71,Loyal Customer,Business travel,neutral or dissatisfied,Male,Business,35.0,1042.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0
72,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Business,54.0,153.0,3.0,5.0,3.0,5.0,2.0,4.0,5.0,2.0,3.0,2.0,4.0,2.0,5.0,0.0,0.0
73,Loyal Customer,Business travel,satisfied,Male,Business,44.0,366.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,24.0
74,disloyal Customer,Business travel,neutral or dissatisfied,Female,Eco Plus,26.0,913.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0
75,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,44.0,528.0,2.0,5.0,2.0,3.0,2.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,3.0,0.0,0.0
76,disloyal Customer,Business travel,neutral or dissatisfied,Female,Eco,24.0,1172.0,2.0,3.0,3.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,28.0,27.0
77,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,54.0,999.0,2.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,0.0,0.0
78,Loyal Customer,Business travel,neutral or dissatisfied,Male,Eco Plus,42.0,489.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0
79,disloyal Customer,Business travel,neutral or dissatisfied,Male,Eco,36.0,692.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,0.0,0.0
80,Loyal Customer,Business travel,satisfied,Female,Business,61.0,1585.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,24.0,20.0
81,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,50.0,140.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,2.0,5.0,0.0,0.0
82,Loyal Customer,Business travel,satisfied,Male,Business,27.0,2729.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,44.0,52.0
83,Loyal Customer,Business travel,neutral or dissatisfied,Male,Business,55.0,1400.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,0.0
84,disloyal Customer,Business travel,neutral or dissatisfied,Male,Eco,21.0,447.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,7.0,0.0
85,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Business,31.0,334.0,2.0,1.0,2.0,4.0,5.0,2.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,0.0
86,disloyal Customer,Business travel,neutral or dissatisfied,Female,Eco,37.0,158.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,24.0,20.0
87,Loyal Customer,Business travel,satisfied,Female,Business,50.0,3696.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,9.0,0.0
88,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,21.0,846.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,9.0,17.0
89,Loyal Customer,Business travel,neutral or dissatisfied,Female,Eco,53.0,329.0,1.0,0.0,0.0,3.0,1.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,1.0,0.0,0.0
90,Loyal Customer,Business travel,satisfied,Male,Business,45.0,2580.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,0.0,11.0
91,disloyal Customer,Business travel,neutral or dissatisfied,Female,Eco,42.0,84.0,3.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,0.0,34.0
92,Loyal Customer,Business travel,satisfied,Male,Business,59.0,3358.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0
93,Loyal Customer,Business travel,neutral or dissatisfied,Female,Eco,54.0,308.0,2.0,1.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,83.0,95.0
94,Loyal Customer,Business travel,satisfied,Female,Business,46.0,912.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,0.0
95,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco Plus,52.0,406.0,3.0,4.0,3.0,1.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,0.0,0.0
96,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,38.0,397.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0
97,Loyal Customer,Business travel,satisfied,Male,Business,35.0,2409.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0
98,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,41.0,545.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,0.0,0.0
99,disloyal Customer,Business travel,neutral or dissatisfied,Female,Business,40.0,2419.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,0.0,0.0
100,disloyal Customer,Business travel,neutral or dissatisfied,Female,Eco,36.0,1061.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,13.0,0.0
101,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,67.0,899.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,0.0,0.0
102,Loyal Customer,Personal Travel,satisfied,Female,Eco,38.0,293.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,0.0
103,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,50.0,1085.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,0.0,0.0
104,Loyal Customer,Business travel,satisfied,Male,Business,50.0,2475.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0,0.0,0.0
105,Loyal Customer,Business travel,satisfied,Male,Business,54.0,2544.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,62.0,66.0
106,Loyal Customer,Business travel,satisfied,Male,Business,56.0,2556.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,117.0,113.0
107,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,38.0,237.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,0.0,2.0
108,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,7.0,1120.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,2.0,16.0,13.0
109,Loyal Customer,Business travel,satisfied,Female,Business,32.0,2668.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,2.0,0.0
110,Loyal Customer,Business travel,neutral or dissatisfied,Male,Eco,45.0,1660.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,0.0,7.0
111,disloyal Customer,Business travel,neutral or dissatisfied,Male,Eco,25.0,1310.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,0.0,24.0
112,Loyal Customer,Business travel,satisfied,Female,Business,45.0,2374.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,0.0
113,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,34.0,209.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,2.0,3.0,1.0,0.0,0.0
114,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco Plus,20.0,305.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,5.0,2.0
115,disloyal Customer,Business travel,neutral or dissatisfied,Female,Eco,36.0,247.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,16.0,6.0
116,disloyal Customer,Business travel,neutral or dissatisfied,Male,Eco,36.0,338.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,0.0,0.0
117,Loyal Customer,Business travel,satisfied,Male,Business,27.0,3200.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,5.0,0.0,0.0
118,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,40.0,1368.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,0.0,0.0
119,Loyal Customer,Business travel,satisfied,Male,Business,31.0,1999.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,0.0,4.0
120,Loyal Customer,Business travel,satisfied,Male,Eco Plus,25.0,680.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,0.0
121,Loyal Customer,Business travel,satisfied,Male,Business,42.0,537.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,0.0,0.0
122,Loyal Customer,Business travel,satisfied,Female,Eco,45.0,288.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,1.0,5.0,3.0,29.0,40.0
123,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Business,59.0,639.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,11.0
124,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,34.0,201.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,8.0
125,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,22.0,213.0,3.0,5.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,0.0,17.0
126,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco,21.0,1096.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,0.0,0.0
127,Loyal Customer,Business travel,neutral or dissatisfied,Male,Business,26.0,1680.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,27.0,10.0
128,Loyal Customer,Business travel,satisfied,Male,Business,37.0,2401.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,5.0,94.0,86.0
129,Loyal Customer,Business travel,satisfied,Male,Business,38.0,2746.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,5.0,0.0,0.0
130,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,17.0,89.0,3.0,4.0,3.0,1.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0
131,Loyal Customer,Personal Travel,neutral or dissatisfied,Male,Eco Plus,15.0,192.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,8.0
132,Loyal Customer,Personal Travel,neutral or dissatisfied,Female,Eco,53.0,404.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,1.0,5.0,2.0,0.0,0.0
133,disloyal Customer,Business travel,neutral or dissatisfied,Male,Business,39.0,546.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,5.0,3.0,4.0,2.0,93.0,88.0
134,Loyal Customer,Business travel,satisfied,Male,Business,40.0,2400.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0
135,disloyal Customer,Business travel,neutral or dissatisfied,Female,Eco Plus,28.0,599.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,0.0,46.0
136,disloyal Customer,Business travel,neutral or dissatisfied,Female,Business,27.0,2342.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,2.0,10.0,0.0
